last_message_time,trip_reference,last_message_seen_by,user_b,user_a,id,updated_at
2024-12-31T16:28:38.755000+00:00,trips/Jej9ZRk5pdFZzffDPNZX,"['users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1', 'users/2Zo07qmgs3RgKW8S5GS4ezzTPk42']",users/2Zo07qmgs3RgKW8S5GS4ezzTPk42,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-04-01 17:45:03.689175
2025-02-07T19:31:48.195000+00:00,trips/test_trip_1738956570183,"['users/2Zo07qmgs3RgKW8S5GS4ezzTPk42', 'users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1']",users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,users/2Zo07qmgs3RgKW8S5GS4ezzTPk42,test_trip_1738956570183_2klQ8xW0LGXt5CVXVrq1oSTsnlg1_2Zo07qmgs3RgKW8S5GS4ezzTPk42,2025-04-01 17:45:03.689209
